,Area,Perimeter,Compactness,Occlusivity,Min_radial,Volume,RayPortion_sky,RayPortion_obstacles,Betweenness_car,Betweenness_ped,subjective,objective,objective_discrete
181,3354.178024,575.4656448,0.127279122,280.2354409,2.901603619,687508.0,0.211026985,0.39254513700000004,133528,2016,1,1.033333333,0
182,4521.0951159999995,718.5140963,0.109758461,267.54346069999997,2.67137533,839190.5,0.254610755,0.332071443,9537434,2958,1,1.533333333,3
183,3063.879326,539.8952122999999,0.132091598,185.1103885,3.359950729,824206.5,0.250630946,0.402640265,9537434,2958,2,1.7,3
184,3315.585129,399.6540823,0.26085642600000003,186.1407767,3.6511967010000004,704713.0,0.215103863,0.534653465,9537434,2958,2,1.266666667,1
185,3360.972763,411.2489273,0.249727715,184.81902730000002,3.8601985830000003,658204.5,0.203261503,0.417394681,12230342,4028,2,1.4,2
186,3324.895782,418.16074710000004,0.23894688600000002,148.2493168,3.052744381,627387.0,0.193748787,0.40264026399999997,12230342,4028,2,1.6,3
187,2861.276077,423.6717772,0.200313657,118.3345334,3.2357456960000004,602750.0,0.18928363399999998,0.404581635,12230342,4028,2,1.2,1
188,2204.780212,361.7664222,0.21169892699999998,124.46915700000001,3.449250868,586154.0,0.187730538,0.409240924,12230342,4028,2,1.133333333,0
189,2226.6837769999997,313.6087597,0.28450639899999997,111.79365870000001,2.55447426,566765.0,0.184430208,0.435643564,12230342,4028,2,1.166666667,0
190,2394.339866,334.77779489999995,0.268461608,118.84059309999999,3.227569982,564373.0,0.18559503,0.411182294,12230342,4028,2,1.233333333,1
191,2529.527679,360.4623771,0.244641097,121.757706,4.167711385,598899.0,0.19840807600000002,0.37643176100000003,12230342,4028,2,1.066666667,0
192,3201.970787,437.0563363,0.21063569,145.8503378,5.676085222999999,686409.5,0.22655795,0.319161327,12230342,4028,2,1.2,1
193,3487.3578799999996,436.06088,0.230468793,169.5601744,10.68874326,699411.0,0.231993788,0.305571734,12230342,4028,2,1.2,1
194,3477.609222,428.1774954,0.238365264,161.901017,11.78333084,669364.0,0.22170452300000001,0.31702582,12230342,4028,2,0.933333333,0
195,3518.6180729999996,419.8766837,0.25080632,160.5878439,5.543781259,666189.0,0.21723937100000001,0.338575034,12237356,3468,2,0.966666667,0
196,3250.203445,407.91071960000005,0.245465338,109.06484509999999,2.161840223,645450.0,0.20986216300000002,0.524558338,12237356,3468,2,1.2,1
197,2591.3576129999997,356.1806923,0.256674888,136.93221880000002,2.1153469719999998,476870.0,0.157833431,0.558241118,12237356,3468,2,1.0,0
198,2336.550034,260.7251339,0.43193575,58.80782929,1.926758756,490306.0,0.151038633,0.470588235,12237356,3468,2,1.066666667,0
199,2341.592743,263.68126980000005,0.423262259,79.61493703,5.33966411,514341.0,0.15802756699999998,0.42943117799999997,12237356,3468,2,0.966666667,0
200,2350.1276550000002,253.5041684,0.45954824,93.70387265,5.293806124,407789.0,0.13589594300000002,0.621432732,12237356,3468,2,1.2,1
201,2341.707489,252.22462000000002,0.462559448,90.27701551,4.8835037130000005,394445.0,0.131624927,0.618132401,12237356,3468,2,0.933333333,0
202,2303.284439,249.3213398,0.465627405,90.31588052,4.569277761,410294.0,0.13725490199999998,0.5771694820000001,12237356,3468,1,1.066666667,0
203,2297.6464539999997,248.68412819999998,0.466871035,76.52370889,3.938665629,405308.0,0.13686662800000002,0.506891866,12237356,3468,2,1.1,0
204,2251.294632,248.59386769999998,0.457788462,89.07274323,3.674818715,406603.5,0.136769559,0.44651524,12237356,3468,2,1.233333333,1
205,2233.866364,254.3411659,0.433944049,92.23733099,3.602282244,411719.0,0.13725490199999998,0.47738303200000004,12237356,3468,2,1.033333333,0
206,2285.510711,389.7498138,0.189069304,159.72729019999997,3.316268081,392264.0,0.129586488,0.519996118,12237356,3468,2,1.166666667,0
207,2555.002975,399.1079607,0.20156749300000001,155.2507228,3.1638437610000003,438045.0,0.144826247,0.514657348,12237356,3468,2,1.333333333,2
208,2417.768631,317.45098019999995,0.301488852,108.0464717,2.821766052,467903.0,0.153562415,0.513298389,12237356,3468,2,1.133333333,0
209,3645.419357,504.02926569999994,0.18032081100000003,196.0033775,2.8859958139999997,633879.0,0.206561833,0.384973791,661284,1570,2,1.033333333,0
210,4660.62764,593.3194467999999,0.16637079999999999,296.93374789999996,7.558214536,720801.0,0.240147544,0.293341099,985478,1698,2,1.233333333,1
